"id","k","c1","c2","lt","unitVolume","initialStock"
11480,681.41,9.04,329.39,11,0.2419,2993
11481,79.5,11.51,870.2,4,1.4943,506
11482,81.52,6.79,489.63,3,0.1256,570
11483,95.9,11.69,162.5,6,0.3822,1187
11484,73.48,3.83,86.37,6,0.1887,1654
11485,216.13,12.07,79.44,7,0.2051,868
11486,27.02,2.94,264.57,5,0.5971,1077
11487,54.38,3.55,325.45,3,0.375,1592
11488,14.91,2.47,49.36,4,0.1539,1395
11489,39.8,2.68,172.41,5,0.1909,1428
11490,66.16,3.58,206.7,4,0.2816,2189
11491,183.78,12.12,237.91,5,0.0243,1512
11492,74.11,5.98,487.56,3,0.3089,1403
11493,66.41,11.14,329.33,3,0.4243,889
11494,157.69,10.19,287.68,6,0.0316,2355
11495,101.19,13.56,596.25,6,0.523,1415
11496,268.8,13.16,557.82,4,0.2855,1980
11497,235.83,11.22,587.08,4,0.0634,2127
11498,43.72,2.71,57.67,4,0.1755,1408
11499,165.15,10.52,690.52,5,0.2332,2653
11500,153.36,9.05,54.24,4,0.0885,1489
11501,149.05,8.53,616.59,4,0.2186,2438
11502,50.16,2.41,38.92,4,0.3979,2444
11503,114.29,6.95,153.99,6,0.418,1532
11504,295.05,12.89,464.06,7,0.3075,1069
11505,87.97,5.96,299.54,6,0.0594,2490
11506,54.76,8.54,833,5,1.0383,560
11507,509.54,10.68,79.53,6,0.2298,2700
11508,45.03,5.33,475.93,4,0.0793,1276
11509,94.64,10.83,91.01,5,0.2839,1302
11510,194.26,9.84,81.45,4,0.4315,2449
11511,333.23,10.6,411.88,6,0.085,1378
11512,228.54,8.67,272.77,7,0.4562,1924
11513,142.36,6.56,180.62,5,0.0253,3708
11514,27.86,1.17,105.45,6,0.5765,1736
11515,33.62,3.79,110.18,3,0.1534,372
11516,23.33,4.15,373.7,5,1.0164,567
11517,163.6,10.01,1000.49,4,0.2676,1348
11518,57.07,6.88,634.44,4,0.3284,703
11519,54.89,4.92,164.07,4,0.4981,1278
11520,315.12,5.94,330.84,6,0.6612,2854
11521,28.39,3.95,104.2,5,0.2893,1053
11522,28.86,1.19,87.47,7,0.0155,2249
11523,21.59,1.29,57.25,6,0.3286,1817
11524,135.24,5.92,256.44,9,0.0828,987
11525,44.75,6.33,399.81,4,0.5869,342
11526,220.68,3.13,114.6,7,0.4255,3801
11527,71.08,10.34,510.66,4,1.2271,965
11528,159.88,10.68,209.92,4,0.2788,1687
11529,17.94,1.32,30.45,4,0.8728,1172
11530,67,5.06,80.66,8,0.8271,612
11531,182.18,7.25,29.45,4,0.2965,2369
11532,680.91,11.22,474.46,9,0.1243,2603
11533,132.36,4.57,322.61,8,0.6696,1658
11534,489.38,12.18,435.67,4,0.1439,1585
11535,23.4,3.5,289.61,4,0.5524,480
11536,151.53,10.02,100.53,3,0.9328,1566
11537,62.52,2.5,201.84,6,0.0277,1388
11538,240.96,3.11,49.87,15,0.2176,4025
11539,82.68,9.31,47.75,4,0.1402,1185
11540,90.31,10.8,443.23,5,0.0547,1165
11541,37.81,3.06,177.9,4,0.2445,867
11542,142.22,7.76,322.52,3,0.1856,2167
11543,293.45,6.31,26.22,9,0.1685,2864
11544,34.98,6.49,346.43,5,0.6862,317
11545,84.47,13.44,1275.99,4,0.5622,496
11546,196.38,8.24,504.09,4,0.375,2241
11547,232.8,12.75,305.6,5,0.1191,1471
11548,59.12,9.39,71.44,4,0.5927,600
11549,154.65,11.21,264.42,4,0.5352,1493
11550,105.18,8.79,303.55,3,0.4763,1136
11551,37.85,4.24,98.2,4,0.3523,1344
11552,329.67,6.93,350.44,5,0.5695,3581
11553,44.44,4.1,95.06,5,0.3431,1481
11554,115.59,7.76,610.62,4,0.1966,1290
11555,92.98,10.83,118.22,5,0.9051,823
11556,18.38,1.2,98.56,4,0.7003,1160
11557,357.26,13.26,183.62,6,0.7549,1554
11558,100.5,10.71,140.85,4,0.3397,1176
11559,249.86,13.03,1236.45,3,0.1713,1882
11560,187.79,9.26,448.5,3,0.3594,706
11561,1061.47,7.46,199.21,10,0.0599,5303
11562,643.69,12.1,1198.71,6,0.2653,3026
11563,364.1,11.64,113.59,8,0.379,2501
11564,9.9,1.46,19.23,4,0.3254,884
11565,47.16,11.06,583.96,3,0.5476,631
11566,406.94,7.65,145.41,8,0.3194,1914
11567,564.91,10.16,917.84,6,0.0872,2242
11568,38.85,1.18,56.29,5,0.6037,692
11569,19.76,1.54,134.08,6,0.0148,2107
11570,74.62,5.63,38.73,3,0.6341,1271
11571,19.39,1.17,20.91,4,0.1485,727
11572,170.79,10.83,196.59,3,0.1823,1272
11573,186.6,10.34,396.32,6,1.0766,984
11574,34.4,1.01,95.71,5,0.298,1844
11575,1427.03,9.44,144.29,10,0.1903,4824
11576,10.24,1.2,77.12,4,0.5157,878
11577,170.35,13.2,404.58,5,0.2554,1159
11578,53.96,4.66,92.68,5,0.1753,1408
11579,216.15,6.22,228.78,5,0.2528,1969
11580,221.01,5.68,60.36,5,0.2838,2868
11581,79.35,6.7,70.06,3,1.226,1195
11582,1272.52,7.5,146.08,14,0.1337,3966
11583,5.71,1.42,99.02,4,0.2678,490
11584,39.45,2.53,12.93,3,0.4405,1085
11585,14.56,1.99,55.65,7,0.9278,396
11586,49.16,2.74,62.42,8,0.1713,824
11587,51.76,4.3,136.44,3,1.1035,1280
11588,289.12,2.36,18.31,14,0.0224,6701
11589,54.09,11.07,223.09,4,0.1037,466
11590,17.16,2.3,38.71,5,0.7989,1112
11591,592.86,9.92,422.21,9,0.0617,1926
11592,119.14,1.9,88.33,6,0.0413,2169
11593,496.78,13.63,677.28,7,0.434,2852
11594,254.22,5.15,450.23,10,0.0747,1346
11595,17.89,3.61,156.46,3,0.3311,503
11596,131.33,8.42,704.4,5,0.5551,2075
11597,325.14,10.57,56.35,7,0.019,796
11598,45.63,5.38,421.03,3,0.5481,992
11599,136.17,13.31,487.67,4,0.0325,565
11600,86.49,4.32,166.33,6,0.3421,1621
11601,61.25,11.41,809.97,6,0.1459,1220
11602,36.86,7.6,292.95,4,0.7618,435
11603,26.62,1.55,138.7,5,0.4976,1428
11604,174.75,3.37,253.89,12,0.2201,1529
11605,81.44,4.5,26.17,4,0.0811,1795
11606,275,12.43,75.84,6,0.6481,1344
11607,73.34,6.59,234.31,5,0.9497,686
11608,128.24,7.41,59.34,4,0.2186,1997
11609,55.98,2.8,126.15,6,0.0266,2398
11610,446.11,4.35,291.68,16,0.006,5296
11611,63.35,11.6,690.57,4,0.5217,630
11612,39.79,6.39,237.43,4,0.4108,420
11613,106.1,6.38,397.34,4,0.1587,2461
11614,3.11,2.14,151.64,3,1.3681,229
11615,106.64,5.56,44.74,5,0.0938,2629
11616,246.97,13.72,1128.81,4,0.285,2569
11617,23.87,4.9,379.18,5,0.4255,926
11618,360.32,2.17,56.1,9,0.1125,6397
11619,309.8,8.06,120.65,5,0.4515,2448
11620,41.22,2.9,170.6,4,0.3559,1781
11621,922.6,10.05,144.04,12,0.115,2685
11622,172.77,13.29,412.12,5,0.5174,1044
11623,172.62,8.87,495.2,9,0.5298,745
11624,1830.53,13.52,156.17,9,0.061,6141
11625,22,4.84,81.87,5,1.3743,405
11626,93.98,10.19,186.04,6,0.2289,1321
11627,149.54,11.33,95.8,6,0.0222,1502
11628,265.95,3.73,213.99,7,0.0395,2895
11629,31.05,1.91,66.99,6,0.077,2276
11630,207.45,9.2,48.85,4,0.2625,1262
11631,34.99,3.3,147.58,6,0.1943,855
11632,14.28,1.45,35.55,4,0.2394,2290
11633,103.22,6.96,535.56,4,0.742,1003
11634,690.76,10.31,91.43,8,0.1506,2489
11635,83.25,8.72,87.27,4,0.6059,1114
11636,82.78,10.23,235.32,3,0.2972,576
11637,312.7,8.08,744.35,9,0.1295,3950
11638,46.29,6.06,469.2,4,1.3769,559
11639,97.01,9.69,307.89,4,0.7281,1428
11640,6.75,1.06,5.89,4,1.1056,718
11641,99.66,5.8,111.48,3,0.6709,837
11642,251.95,7.55,252.23,5,0.7573,815
11643,41.73,5.81,113.88,5,0.2298,685
11644,621.58,12.06,303.82,10,0.0102,2376
11645,82.99,6.85,32.42,5,0.1761,1346
11646,295.62,8.54,291.32,7,0.1653,2527
11647,80.65,9.1,72.05,6,0.1218,1226
11648,335.32,10.05,363.92,8,0.6544,1205
11649,247.5,11.63,557.98,6,0.3584,3150
11650,11.86,1.77,51.99,3,0.5189,1014
11651,133.16,13.03,978.41,5,0.8074,1158
11652,26.88,6.69,159.35,6,0.9432,641
11653,81.62,4.72,271.61,4,0.3169,2342
11654,128.1,6.61,595.06,3,0.0197,2090
11655,375.83,7.02,102.02,17,0.3423,2306
11656,46.95,13.1,139.14,4,0.2362,266
11657,631.39,7.34,114.68,6,0.1821,4820
11658,77.91,3.22,223.02,4,0.2517,1551
11659,36.47,3.37,31.66,5,0.4448,1590
11660,255.22,13.3,372.05,3,0.3074,1941
11661,85.92,8.78,178.71,3,0.2617,1795
11662,44.19,5.84,514.68,6,0.1622,955
11663,146.84,9.46,180.63,3,0.1808,901
11664,80.62,9.15,38.64,7,0.4154,412
11665,22.98,4.2,175.26,3,1.0915,359
11666,75.87,9.38,210.31,3,1.337,1058
11667,122.32,9.26,175.58,3,0.2844,510
11668,210.76,9.39,151.77,4,0.3763,2253
11669,573.72,10.44,58.6,10,0.2547,2528
11670,47.7,3.59,65.89,8,0.7756,1438
11671,12.2,1.5,28.69,6,0.4274,624
11672,59.25,10.67,762.1,4,1.4287,480
11673,38.97,10.48,930.37,5,1.7546,680
11674,39.93,13.38,387.42,6,1.4588,282
11675,428.24,2.64,185.35,14,0.0583,4800
11676,32.25,1.4,8.61,4,0.4459,2560
11677,69.98,5.74,542.21,5,0.5236,1114
11678,615.88,11.32,363.09,8,0.258,2961
11679,166.11,13.61,332.04,3,0.1488,685
11680,86.54,5.97,26.47,3,0.2972,1105
11681,376.88,7.91,351.75,6,0.2876,3167
11682,31.67,3.04,31.08,4,0.1253,1319
11683,123.4,9.47,222.92,3,0.1315,1863
11684,137.22,9.59,218.21,3,0.2179,1393
11685,171.99,1.05,32.7,17,0.039,5529
11686,175.51,7.58,46.9,5,0.2906,2263
11687,37.68,10.25,240.45,4,0.2952,379
11688,47.23,7.59,161.86,3,1.7864,732
11689,13.57,1.85,10.83,4,0.826,1064
11690,259.19,13.38,882.44,5,0.3461,2593
11691,16.16,3.27,17.41,5,0.1943,588
11692,84.38,5.27,420.77,10,0.2541,1282
11693,93.65,6.06,242.95,5,0.124,3208
11694,193.02,10.87,146.66,6,0.361,1922
11695,20.4,3.21,206.5,4,0.3015,532
11696,194.07,8.27,161.42,5,0.3258,2131
11697,761.88,11.62,916.67,7,0.2651,2514
11698,128.74,12.66,973.72,4,0.2816,1400
11699,442.73,3.55,27.06,10,0.2381,4586
11700,302.67,5.9,333.77,9,0.0964,3863
11701,236.14,5.89,340.03,10,0.0134,3575
11702,113.48,6.35,168.78,4,0.4726,1319
11703,34.45,2.27,11.25,4,0.1597,1736
11704,73.24,5.81,79.33,6,0.5799,1427
11705,106.73,6.28,476.76,5,0.017,1994
11706,11.05,2.86,224.18,4,0.7014,471
11707,62.31,4.43,186.86,6,0.2229,1288
11708,999.61,8.29,696.89,13,0.2168,6387
11709,68.45,3.6,18.59,3,0.5049,1971
11710,268.97,10.49,527.79,6,0.3159,2660
11711,44.23,2.78,261.69,6,0.9004,1342
11712,83.61,3.77,237.91,6,0.1477,2593
11713,163.3,13.95,100.65,5,0.6047,1664
11714,127.42,9.51,160.14,8,0.4034,1325
11715,17.23,2.81,39.88,3,2.1549,698
11716,75.69,8.25,202.89,3,0.9063,1179
11717,18.71,1.75,40,3,1.3448,1178
11718,134.91,13.59,499.96,3,0.0401,474
11719,208.3,13.96,147.76,3,0.1825,621
11720,73.57,12.63,816.07,4,0.3527,1049
11721,24.98,2.18,149.13,4,0.5086,2099
11722,189.98,3.06,32.21,10,0.0939,4951
11723,152.26,5.23,476.95,5,0.3959,3654
11724,101.66,8.67,142.17,3,0.5822,569
11725,120.83,6.07,134.79,4,0.1335,2660
11726,50.74,4.43,66.72,6,0.2385,1347
11727,51.32,3.44,188.22,4,0.1182,2369
11728,65.3,6.03,137.01,4,0.0853,716
11729,82.94,9.39,413.9,5,0.6653,1425
11730,110.81,8.8,541.9,5,0.4896,1954
11731,249.67,13.47,1065.58,4,0.4626,2316
11732,32.55,2.78,192.21,3,0.5321,1049
11733,233.16,9.34,215.74,6,0.3027,3798
11734,24.84,2.71,20.42,3,1.0586,1238
11735,18.67,2.22,13.55,3,0.9472,894
11736,72.24,13.4,1274.36,4,0.5026,885
11737,77.03,8.29,802.03,4,0.1978,1493
11738,76.73,9.42,584.27,4,1.1005,1118
11739,162.9,9.58,206.13,5,0.0153,1818
11740,87.68,11.37,1131.26,4,1.1478,596
11741,313.79,6.4,87.39,8,0.1516,5434
11742,109.4,5.73,549.09,3,0.0343,1086
11743,156.61,11.81,249.58,5,0.224,1880
11744,115.52,12.64,291.78,5,0.3788,904
11745,57.95,5.6,393.66,5,0.4037,2157
11746,27.66,11.89,519.87,4,0.5425,138
11747,354.47,6.86,224.79,5,0.1671,3200
11748,11.44,2.82,45.87,5,0.8251,735
11749,92.61,4,95.98,5,0.1965,1141
11750,135.44,11.4,216.09,6,0.351,1876
11751,580.03,11.89,688.04,5,0.1289,1465
11752,41.36,3.1,183.03,5,0.5683,2382
11753,137.04,9.95,89,5,0.1464,1379
11754,93.12,9.14,887.52,3,0.4985,630
11755,62.68,11.14,71.59,3,0.155,834
11756,29.92,2.4,15.33,6,0.4699,1530
11757,226.99,13.59,438.5,6,0.3384,1705
11758,225.67,5.38,82.62,6,0.2718,1504
11759,31.97,5.49,492.98,4,0.8673,985
11760,143.85,9.75,111.57,4,0.3988,2056
11761,162.74,1.14,22.2,15,0.1404,6810
11762,28.29,1.69,15.67,5,0.4646,1255
11763,201.94,11.22,232.22,4,0.6446,1754
11764,67.06,7.75,263.59,5,0.0328,2537
11765,118.65,13.38,266.23,3,0.6342,1958
11766,648.64,5.99,382.73,10,0.2409,4359
11767,238.58,7.28,214.87,10,0.1649,1932
11768,107.85,10.27,658.39,6,0.4296,1200
11769,111.08,9.99,590.06,5,0.2029,1364
11770,156.52,9.67,156.66,3,0.4934,1635
11771,27.41,7.53,87.41,4,1.9797,554
11772,32.06,2.54,178.81,4,0.3547,1716
11773,117.99,6.25,186.3,3,0.2352,1533
11774,126.81,2.65,47.64,6,0.0932,3401
11775,153.05,9.81,378.48,5,0.3527,1966
11776,22.34,1.44,104.22,4,0.4693,1285
11777,191.83,13.97,311.65,4,0.5381,1754
11778,54.49,3.17,233.96,4,0.5881,1192
11779,13.5,3.79,33.7,8,1.6919,515
11780,116.98,8.17,178,5,0.2002,1045
11781,6.59,1.07,95.13,6,0.5628,480
11782,63.26,6.28,392.57,5,0.1862,1190
11783,300.69,9.92,47.62,5,0.3465,2476
11784,99.34,1.65,126.19,7,0.1873,2560
11785,35.99,7.29,104.27,5,0.3532,619
11786,24.36,2.37,150.65,3,0.1763,1708
11787,83.76,12.13,1059.71,5,0.9621,605
11788,100.59,7.41,703.15,5,0.4282,2416
11789,65.93,2.79,159.92,5,0.0091,2546
11790,1154.61,12.68,746.13,8,0.2055,2849
11791,330.6,10.8,294.32,7,0.1508,907
11792,239.78,14,503.27,3,0.8746,1902
11793,404.64,8.56,317.37,5,0.2216,3985
11794,170.86,6.79,276.43,3,0.2725,1868
11795,81.86,2.58,78.22,8,0.1183,812
11796,1805,12.16,190.28,16,0.125,5345
11797,118.45,13.34,169.95,4,1.0534,1190
11798,94.43,3.95,388.4,4,0.3943,1193
11799,38.72,4.08,131.2,5,0.8081,708
11800,178.91,12.78,362.91,5,0.0741,1260
11801,1576.97,9.99,57.76,13,0.1558,6288
11802,307.67,8.84,67.69,5,0.1888,3629
11803,234.92,9.28,115.5,4,0.2483,3222
11804,16.96,2.28,194.45,4,0.7885,387
11805,13.04,2.07,57.44,3,1.5859,865
11806,37.42,9.46,206.53,6,1.0222,511
11807,33.67,4.84,45.91,5,0.2331,1081
11808,173.38,7.21,143.79,5,0.2997,3795
11809,1608.7,13.11,356.12,15,0.0932,6080
11810,152.74,7.47,34.62,4,0.087,2573
11811,79.25,10.27,906.61,6,0.1322,1077
11812,96,6.52,590.97,3,0.9619,1382
11813,104.06,5.68,28.46,5,0.1821,1833
11814,102.26,10.95,222.69,3,0.1435,1466
11815,11.76,1.13,35.47,4,0.3952,888
11816,1478.75,7.89,682.13,10,0.1778,3973
11817,23.3,3.95,112.86,4,0.5715,1420
11818,60.37,4.03,137.28,6,0.2952,1749
11819,87.14,10.22,99.95,6,0.0608,1609
11820,88.05,2.44,20.9,5,0.121,2807
11821,212.49,2.33,62.69,12,0.1677,2106
11822,41.67,9.33,679.47,4,2.7265,449
11823,38.89,5.64,498.35,4,0.6874,846
11824,119.95,12.64,616.83,5,0.6424,718
11825,210.54,12.15,134.32,4,0.3766,1606
11826,114.24,8.65,40.71,4,0.1392,1811
11827,668.12,5.65,350.96,13,0.1399,6616
11828,37.23,6.66,92.31,6,0.8508,1013
11829,25.44,5.58,360.12,4,0.4404,1102
11830,258.7,12.92,1029.18,3,0.499,2318
11831,174.27,7.04,142.96,4,0.4464,3660
11832,439.41,13.02,662.74,6,0.0227,1400
11833,118.14,5.73,104.29,6,0.0528,1448
11834,186.21,9.43,152.23,3,0.1697,2134
11835,314.41,13.34,195.38,3,0.086,1841
11836,510.95,13.1,644.4,10,0.0281,2293
11837,29.16,2.59,120.39,6,0.4177,987
11838,345.63,10.16,614.56,9,0.2017,2819
11839,244.71,11.83,986.74,6,0.3681,2892
11840,84.74,8.84,589.54,3,0.7773,832
11841,27.16,4.47,268.05,4,0.9662,753
11842,36.56,5.88,301.5,6,0.6902,542
11843,122.4,11.88,56.42,6,0.1624,1360
11844,129.96,7.24,492,4,0.4297,2471
11845,26.08,2.37,205.53,6,0.0219,726
11846,339.48,11.19,67,5,0.3814,1110
11847,690.06,10.05,46.65,9,0.295,4630
11848,48.64,4.52,183.47,3,1.0144,762
11849,58.55,3.03,293.43,5,0.3642,1714
11850,145.74,2.24,33.31,11,0.0979,5668
11851,227.93,13.98,177.22,3,0.4049,1609
11852,33.29,5.5,278.75,3,0.2934,1385
11853,39.04,8.45,516.6,3,1.5895,672
11854,112.86,7.37,534.56,4,0.6998,1546
11855,229.32,11.84,1086.77,6,0.4152,1082
11856,12.32,1.88,49.79,5,0.1797,1125
11857,50.47,6.82,459.05,4,0.0151,2300
11858,249.14,13.59,413.69,5,0.2677,1939
11859,101.33,7.33,95.36,5,0.5706,1094
11860,168.45,4.36,164.55,10,0.1396,3571
11861,116.89,5.98,460.83,3,0.1285,1066
11862,119.99,8.69,212.56,3,0.5719,1237
11863,95.13,6.93,393.24,3,0.0872,1148
11864,17.2,1.51,29.27,4,0.4931,1285
11865,366.86,9.17,209.12,7,0.3562,1823
11866,82.04,9.37,905.1,6,0.6666,749
11867,162.62,12.37,137.5,4,0.5531,2196
11868,424.74,11.37,233.17,7,0.1723,1883
11869,31.09,1.68,135.49,4,0.0679,2861
11870,87.97,2.26,206.17,8,0.1168,3336
11871,352.39,4.37,205.21,9,0.3281,4220
11872,175.15,7.39,67.61,6,0.1787,1979
11873,177.72,8.89,389,6,0.3234,1681
11874,27.33,1.95,165.29,6,0.0877,3222
11875,41.07,1.51,14.03,9,0.3111,1497
11876,260,10.55,354.09,3,0.5889,2943
11877,199.91,12.32,59.6,4,0.5989,1797
11878,314.73,8.91,527.95,6,0.309,1106
11879,30.81,3.43,284.02,3,0.7397,357
11880,145.47,13.91,212.3,4,0.5403,1467
11881,76.94,8.38,741.31,5,0.8171,1589
11882,122.57,10.43,725.48,5,0.3282,1687
11883,18.6,1.47,37.36,4,0.5576,1350
11884,27.73,4.69,119.41,3,0.0325,575
11885,97.09,9.29,801.27,3,1.1683,961
11886,59.43,9.11,344.87,4,0.5934,446
11887,286.94,12.63,68.32,4,0.6159,2644
11888,570.19,9.64,71.95,8,0.2061,2756
11889,210.13,7.25,447.67,6,0.463,2733
11890,172.46,9.49,157.94,4,1.2353,1671
11891,221.17,3.39,47.57,7,0.1727,3134
11892,25.15,4.06,28.69,4,0.3808,978
11893,413.1,5.91,407.29,13,0.2336,1772
11894,10.3,1.66,31.12,3,1.4241,485
11895,10.85,4.88,133.24,3,2.8316,246
11896,194.93,12.03,1052.14,4,0.5433,1685
11897,600.04,13.54,73.4,6,0.4202,1820
11898,55.29,2.52,69.39,5,0.3838,2077
11899,164.68,8.95,310.61,5,0.1907,1382
11900,224.8,1.62,27.48,15,0.0146,3814
11901,42.85,8.33,759.67,4,0.7977,691
11902,20.06,1.41,16.64,6,0.0286,2183
11903,221.56,12.79,198.64,5,0.2209,2766
11904,59.28,3.46,126.44,5,0.4181,1470
11905,131.01,11.12,336.82,3,0.3292,1649
11906,23.1,1.64,24.43,5,0.2914,1883
11907,104.35,1.81,101.7,10,0.1276,4483
11908,425.28,8.55,759.61,9,0.1943,3186
11909,28.29,2.53,28.07,4,0.4638,1506
11910,124.96,10.13,141.27,3,0.1995,1076
11911,1391.9,7.47,107.94,14,0.0745,7280
11912,53.92,3.24,180.74,6,0.4997,1682
11913,52,3.48,79.09,6,0.3224,2426
11914,266.74,12.56,198.67,4,0.3603,1370
11915,111.18,4.41,220.97,7,0.3804,2560
11916,27.78,5.99,546.36,4,1.0423,490
11917,62.01,10.21,396.1,4,0.1579,917
11918,91.14,4.31,341.81,3,0.6197,2072
11919,149.08,12.52,265.47,4,0.6676,1022
11920,349.91,6.72,566.65,7,0.2804,3670
11921,426.75,7.69,211.21,9,0.115,4198
11922,106.47,6.19,246.25,8,0.2196,1734
11923,200.15,12.38,536.33,4,0.4189,1728
11924,115.53,11.15,190.58,4,0.8195,552
11925,188.68,8.19,351.49,4,0.1108,1642
11926,362.3,4.94,78.28,9,0.0653,6489
11927,33.99,3.13,93.63,4,0.0172,1446
11928,22.67,1.3,119.02,5,0.3967,2783
11929,627.94,8.77,169.27,10,0.4491,1897
11930,359.27,13.92,797.88,5,0.0856,2023
11931,1203.09,12.66,146.35,9,0.1183,3430
11932,174.89,11.69,143.62,6,0.2332,2488
11933,78.51,10.17,88.49,4,0.2379,665
11934,95.38,6.33,409.02,6,0.3753,1391
11935,75.86,11.67,67.96,3,1.0298,1438
11936,949.83,7.07,404.27,15,0.1895,5289
11937,130.98,4.9,337.84,4,0.2248,2701
11938,308.06,6.71,386.29,5,0.2014,3085
11939,152.48,9.61,432.66,3,0.5555,1694
11940,128.35,4.36,201.05,7,0.3954,2473
11941,662.59,8.1,74.86,10,0.2506,3035
11942,85.83,5.39,89.16,4,0.4891,2439
11943,77.45,3.79,91.36,6,0.1661,3452
11944,66.25,11.05,484.89,3,1.749,294
11945,137.61,8.55,285.16,4,0.2339,2705
11946,443.03,13.1,702.04,11,0.3865,2880
11947,151.74,8.52,232.32,4,0.4496,2007
11948,107.38,9.46,39.55,4,0.5369,1236
11949,80.93,13.96,470.28,3,0.0287,829
11950,17.03,1.39,12.23,3,0.3032,620
11951,61.08,10.7,313.96,3,0.6487,815
11952,24.17,3.58,199.25,4,0.7329,589
11953,9.67,1.06,100.81,4,0.2752,699
11954,19,5.76,124.14,4,1.0531,396
11955,32.26,1.97,20.54,4,0.5015,1607
11956,577.46,11.36,367.08,12,0.1736,1628
11957,362.07,8.7,73.84,5,0.468,1922
11958,278.02,13.77,346.79,4,0.5995,1179
11959,50.83,5.07,473.06,3,1.4959,709
11960,44.78,1.41,82.41,4,0.3704,2645
11961,99.63,10.11,798.48,6,0.5307,1273
11962,235.96,11.17,790.29,5,0.5781,859
11963,469.82,9.1,93.85,9,0.1215,5718
11964,153.05,10.5,183.09,5,0.2094,1326
11965,77.88,4.31,56.36,5,0.0474,1106
11966,86.2,11.52,67.97,3,0.9993,849
11967,26.07,2.74,160.09,4,0.0934,2114
11968,74.76,9.36,198.47,5,1.0028,1113
11969,231.86,8.53,227.39,5,0.4578,1139
11970,226.52,13,1212.26,4,0.0852,2273
11971,71.72,9.07,318.9,5,0.8015,1052
11972,11.01,1.05,89.27,4,0.8294,954
11973,243.6,4.19,126.07,10,0.2104,4618
11974,80.44,3.74,80.35,4,0.4512,1161
11975,131.26,6.1,25.86,6,0.1491,2622
11976,66.96,6.4,235.53,4,0.0382,2439
11977,80.61,9.45,659.14,6,0.2178,700
11978,180.67,8.1,432.02,3,0.5127,1038
11979,175.14,10.43,355.49,6,0.2384,1870
11980,39.8,4.18,262.68,3,1.0105,1063
11981,451.07,12.35,355.24,9,0.3503,2754
11982,108.58,8.41,46.45,7,0.4082,1057
11983,255.34,11.25,905.6,4,0.4531,2588
11984,44.78,11.99,1198.83,3,2.8034,168
11985,119.71,5.64,245.22,3,0.1114,1589
11986,133.1,7.16,451.12,6,0.0184,2950
11987,64.77,9.48,107.17,5,0.7106,883
11988,143.28,10.21,456.36,4,0.7638,2121
11989,17.34,2.42,20.14,6,0.6395,881
11990,243.72,7.16,356.44,6,0.0834,2977
11991,32.4,11,387.99,4,2.2363,256
11992,56.45,10.53,274.53,3,0.9319,652
11993,71.39,8.76,62.97,3,0.2672,1041
11994,610.66,4.05,157.06,11,0.0899,3981
11995,100.81,10.5,589.87,6,0.6507,1040
11996,490.6,11.74,180.13,5,0.535,3194
11997,215.72,12.89,202.14,5,0.3988,1328
11998,72.78,2.21,68.61,6,0.0771,1581
11999,125.21,9.91,99.82,6,0.4077,583
12000,1078.84,11.29,296.25,13,0.037,5504
12001,14.53,1.63,67.23,3,0.5856,524
12002,56.71,1.82,7.36,5,0.3114,1520
12003,18.33,5.42,75.01,3,2.2167,346
12004,898.52,5.81,166.73,11,0.149,6730
12005,51.41,5.55,30.68,5,0.4621,1335
12006,1059.56,6.24,111.66,12,0.0524,5240
12007,753.45,8.18,452.02,9,0.1103,2776
12008,273.14,13.23,1307.29,6,0.5801,1586
12009,1016.59,8.32,115.18,9,0.0618,3749
12010,343.89,7.87,425.42,9,0.2775,4492
12011,225.91,11.02,185.03,5,0.0457,2819
12012,111.26,6.8,258.92,4,0.6564,2636
12013,39.71,2.67,58.96,4,0.5403,821
12014,49.47,8.59,757.14,5,1.5317,471
12015,114.91,1.67,151.04,12,0.1392,2709
12016,133.28,12.87,751.81,6,0.0341,2352
12017,61.73,4.51,374.68,6,0.2572,1982
12018,378.11,8.7,199.52,9,0.3071,2070
12019,74.78,13.96,260.25,4,1.644,492
12020,35.44,1.82,34.17,4,0.2359,1515
12021,84.54,6.05,34.36,3,0.4779,832
12022,208.35,3.19,170.98,6,0.2637,2005
12023,902.88,11.64,786.41,8,0.6094,1578
12024,112.63,11.4,390.45,5,0.157,1754
12025,119.42,9.17,455.28,5,0.2816,749
12026,71.06,3.63,25.41,3,0.7809,1254
12027,89.08,6.44,40.45,5,0.1285,922
12028,48.97,1.35,94.46,6,0.3457,1379
12029,71.76,4.37,25.23,3,0.1529,1218
12030,108.58,10.12,126.13,4,1.0615,537
12031,14.25,2.29,208.58,4,0.6304,1249
12032,27.85,3.11,223.25,3,0.2538,758
12033,271.94,13.56,462.85,7,0.6458,875
12034,220.72,5.84,455.19,16,0.4098,2026
12035,14.79,3.36,77.76,3,1.3153,756
12036,31.85,3.5,57.67,3,0.8877,779
12037,200.84,5.03,452.91,10,0.0829,3946
12038,212.28,8.59,295.35,6,0.649,1914
12039,160.1,11.96,428.22,3,0.2042,1548
12040,88.13,13.22,336.71,5,0.5006,747
12041,254.69,13.05,64.63,9,0.4381,1070
12042,140.11,7.53,109.66,5,0.1681,1045
12043,204.1,10.46,44.45,4,0.1634,1579
12044,198.53,11.27,1040.02,3,0.6631,1659
12045,272.32,11.17,130.23,6,0.0828,894
